Country factsheets 
LAO PEOPLE'S DEMOCRATIC REPUBLIC  | 2017
HIV and AIDS Estimates
"Adults and children living with HIV", 12 000, 10 000, 14 000
"Adults aged 15 and over living with HIV", 11 000, 9900, 13 000
"Women aged 15 and over living with HIV", 5100, 4500, 5800
"Men aged 15 and over living with HIV", 6100, 5300, 7200
"Children aged 0 to 14 living with HIV", <1000, <1000, <1000
"Adult aged 15 to 49 HIV prevalence rate", 0.3, 0.2, 0.3
"Women aged 15 to 49 HIV prevalence rate", 0.3, 0.2, 0.3
"Men aged 15 to 49 HIV prevalence rate", 0.3, 0.3, 0.4
"HIV prevalence among young women", <0.1, <0.1, 0.1
"HIV prevalence among young men", <0.1, <0.1, 0.1
"Adults and children newly infected with HIV", ..., ..., ...
"Adults aged 15 and over newly infected with HIV", ..., ..., ...
"Women aged 15 and over newly infected with HIV", ..., ..., ...
"Men aged 15 and over newly infected with HIV", ..., ..., ...
"Children aged 0 to 14 newly infected with HIV", ..., ..., ...
"HIV incidence per 1000 population (adults 15-49)", ..., ..., ...
"HIV incidence per 1000 population (all ages)", ..., ..., ...
"Adult and child deaths due to AIDS", <500, <500, <500
"Deaths due to AIDS among adults aged 15 and over", <500, <500, <500
"Deaths due to AIDS among women aged 15 and over", <200, <100, <200
"Deaths due to AIDS among men aged 15 and over", <200, <200, <500
"Deaths due to AIDS among children aged 0 to 14", <100, <100, <100
"Orphans due to AIDS aged 0 to 17", 4000, 3100, 4800
Epidemic transition metrics
"Percent change in AIDS-related deaths since 2010", 10, , 
"Incidence-to-prevalence ratio", ..., , 
"Incidence:mortality ratio", ..., , 
HIV testing and treatment cascade
"People living with HIV who know their status", 8900, , 
"Percent of people living with HIV who know their status", 75, 66, 87
"People living with HIV who have suppressed viral loads", 5300, , 
"Percent of people living with HIV who have suppressed viral loads", 45, , 
Antiretroviral therapy (ART)
"Coverage of adults and children receiving ART (%)", 47, 42, 55
"Adults aged 15 and over receiving ART", 48, 42, 55
"Women aged 15 and over receiving ART", 50, 44, 57
"Men aged 15 and over receiving ART", 46, 40, 55
"Children aged 0 to 14 receiving ART", 41, 36, 48
"Number of adults and children receiving ART (#)", 5631, , 
"Adults aged 15 and over receiving ART", 5354, , 
"Women aged 15 and over receiving ART", 2525, , 
"Men aged 15 and over receiving ART", 2829, , 
"Children aged 0 to 14 receiving ART", 277, , 
"Adults and children newly-initiating ART (#)", 1181, , 
"Adults aged 15 and over newly-initiating ART", 1135, , 
"Children aged 0-14 newly-initiating ART", 46, , 
"Women newly-initiating ART", , , 
"Men newly-initiating ART", , , 
Elimination of mother-to-child transmission
"Coverage of pregnant women who receive ARV for PMTCT (%)", 24, 20, 28
"Pregnant women who received ARV for PMTCT (#)", 79, , 
"Pregnant women needing ARV for PMTCT (#)", <500, <500, <500
"Early infant diagnosis (%)", 7, 6, 8
"New HIV infections averted due to PMTCT (%)", ..., ..., ...
"Number of HIV-exposed children who are uninfected", 3500, 3100, 4100
Sex workers
"Population size estimate (#)", 13 400, , ,"Source: GAM 2016"
"Condom use (%)", 91.8, , ,"Source: Behavioural Surveillance Survey 2017"
"Coverage of HIV prevention programmes (%)", 50.7, , ,"Source: Behavioural Surveillance Survey, 2017"
"Condoms distributed through prevention programmes (#)", 187, , ,"Source: UNAIDS Special Analysis and Global AIDS Monitoring, 2017"
Men who have sex with men
"Population size estimate (#)", 50 000, , ,"Year of estimation: 2016"
"HIV prevalence (%)", 1.6, , ,"Source: IBBS 2014"
"Knowledge of HIV status (%)", 10.2, , ,"Source: Behavioural Surveillance Survey 2017"
"Condom use (%)", 25.7, , ,"Source: Behaviour Surveillance Survey, 2017"
"Coverage of HIV prevention programmes (%)", 7.8, , ,"Source: Behavioural Surveillance Survey, 2017"
"Condoms distributed through prevention programmes (#)", 58, , ,"Source: UNAIDS Special Analysis and Global AIDS Monitoring, 2017"
People who inject drugs
"Population size estimate (#)", 1600, , ,"Year of estimation: 2016"
"Needles and syringes distributed per person who injects drugs (#)", 2.5, , ,""
Stigma and discrimination
"Sex workers: Avoidance of health care because of stigma and discrimination (%)", 2.3, , ,"Refers to avoidance of health care due to fear of stigma and discrimination; Source: Behavioural Surveillance Survey 2017"
"Men who have sex with men: Avoidance of health care because of stigma and discrimination (%)", 41.8, , ,"Refers to avoidance of HIV testing due to fear of stigma and discrimination; Source: Behavioural Surveillance Survey, 2017"
Young people
"Knowledge about HIV prevention among young people aged 15-24", 25.13, , ,"Source: MICS 2012"
"Knowledge about HIV prevention among young women aged 15-24", 24, , ,"Source: MICS 2012"
"Knowledge about HIV prevention among young men aged 15-24", 27.6, , ,"Source: MICS 2012"
HIV expenditure
"Total country-reported HIV expenditure (USD)", 4 600 000, , ,"Source: GAM_2018"
"HIV expenditure from domestic public sources (USD)", 570 000, , ,"Source: GAM_2018"
"HIV expenditure from domestic private sources (USD)", , , ,""
"HIV expenditure from international sources (USD)", 4 100 000, , ,"Source: GAM_2018"
