Country factsheets 
SINGAPORE  | 2017
HIV and AIDS Estimates
"Adults and children living with HIV", 7600, 6300, 8900
"Adults aged 15 and over living with HIV", 7600, 6300, 8900
"Women aged 15 and over living with HIV", <1000, <1000, <1000
"Men aged 15 and over living with HIV", 6900, 5500, 8100
"Children aged 0 to 14 living with HIV", ..., ..., ...
"Adult aged 15 to 49 HIV prevalence rate", 0.2, 0.2, 0.3
"Women aged 15 to 49 HIV prevalence rate", <0.1, <0.1, <0.1
"Men aged 15 to 49 HIV prevalence rate", 0.4, 0.4, 0.5
"HIV prevalence among young women", <0.1, <0.1, <0.1
"HIV prevalence among young men", <0.1, <0.1, 0.1
"Adults and children newly infected with HIV", <500, <500, <500
"Adults aged 15 and over newly infected with HIV", <500, <500, <500
"Women aged 15 and over newly infected with HIV", <100, <100, <100
"Men aged 15 and over newly infected with HIV", <500, <200, <500
"Children aged 0 to 14 newly infected with HIV", ..., ..., ...
"HIV incidence per 1000 population (adults 15-49)", 0.13, 0.12, 0.13
"HIV incidence per 1000 population (all ages)", 0.08, 0.06, 0.09
"Adult and child deaths due to AIDS", <100, <100, <100
"Deaths due to AIDS among adults aged 15 and over", <100, <100, <100
"Deaths due to AIDS among women aged 15 and over", <100, <100, <100
"Deaths due to AIDS among men aged 15 and over", <100, <100, <100
"Deaths due to AIDS among children aged 0 to 14", ..., ..., ...
"Orphans due to AIDS aged 0 to 17", ..., ..., ...
Epidemic transition metrics
"Percent change in new HIV infections since 2010", -24, , 
"Percent change in AIDS-related deaths since 2010", -44, , 
"Incidence-to-prevalence ratio", 0.04, , 
"Incidence:mortality ratio", 3.10, , 
HIV testing and treatment cascade
"People living with HIV who know their status", 6900, , 
"Percent of people living with HIV who know their status", 91, 75, >95
"People living with HIV who have suppressed viral loads", 5500, , 
"Percent of people living with HIV who have suppressed viral loads", 72, , 
Antiretroviral therapy (ART)
"Coverage of adults and children receiving ART (%)", 77, 64, 90
"Adults aged 15 and over receiving ART", 77, 63, 90
"Women aged 15 and over receiving ART", 77, 67, 88
"Men aged 15 and over receiving ART", 77, 62, 91
"Children aged 0 to 14 receiving ART", ..., ..., ...
"Number of adults and children receiving ART (#)", 5878, , 
"Adults aged 15 and over receiving ART", 5869, , 
"Women aged 15 and over receiving ART", 575, , 
"Men aged 15 and over receiving ART", 5294, , 
"Children aged 0 to 14 receiving ART", 9, , 
"Adults and children known to be on ART 12 months after starting (%)", >95, , 
"Adults known to be on ART 12 months after starting", >95, , 
"Children known to be on ART 12 months after starting", , , 
Elimination of mother-to-child transmission
"Coverage of pregnant women who receive ARV for PMTCT (%)", ..., ..., ...
"Pregnant women who received ARV for PMTCT (#)", ..., , 
"Pregnant women needing ARV for PMTCT (#)", ..., ..., ...
"New HIV infections averted due to PMTCT (%)", ..., ..., ...
"Number of HIV-exposed children who are uninfected", ..., ..., ...
Sex workers
"HIV prevalence (%)", , , ,"Source: Sentinel surveillance 2017"
"Condom use (%)", 98.8, , ,"Source: GARPR 2011"
"Active syphilis (%)", , , ,"Source: MOH/MHA medical scheme - brothel based sex workers, 2017"
Men who have sex with men
"HIV prevalence (%)", 11, , ,"Source: DSC clinic, 2015"
"Antiretroviral therapy coverage (%)", 99.2, , ,"Source: Singapore HIV-AIDS Research Database 2017"
"Condom use (%)", 57.8, , ,"Source: MSM seroprevalence study, 2017"
"Active syphilis (%)", 12.4, , ,"Source: Sentinel surveillance 2017"
People who inject drugs
"HIV prevalence (%)", 0.5, , ,"Source: Sentinel surveillance 2017"
Prisoners
"Population size estimate (#)", 10 363, , ,"Source: Based on inmate population reported by Singapore Prison Service 2017"
"HIV prevalence (%)", 1.1, , ,"Source: HIV tests conducted by jails, prisons and other closed settings 2017"
"Antiretroviral therapy coverage (%)", 100, , ,"Source: Based on data reported by Singapore Prison Service 2017"
Transgender people
"Antiretroviral therapy coverage (%)", 100, , ,"Source: Singapore HIV-AIDS Research Database 2017"
Combination prevention
"People receiving pre-exposure prophylaxis (PrEP) (#)", 24, , 
HIV expenditure
"Total country-reported HIV expenditure (USD)", 52 100 000, , ,"Source: GAM_2018"
"HIV expenditure from domestic public sources (USD)", 52 100 000, , ,"Source: GAM_2018"
"HIV expenditure from domestic private sources (USD)", , , ,""
"HIV expenditure from international sources (USD)", , , ,""
Hepatitis and HIV
"Hepatitis B testing", 91.34, , ,"Source: Singapore HIV-AIDS Research Database 2017; Accounts for newly diagnosed patients (age 15+) at the Communicable Disease Centre and Tan Tock Seng Hospital Infectious Diseases clinic"
"Proportion of people coinfected with HIV and HBV receiving combined treatment", 99.39, , ,"Source: Singapore HIV-AIDS Research Database 2017; Accounts for newly diagnosed patients (age 15+) at the Communicable Disease Centre and Tan Tock Seng Hospital Infectious Diseases clinic"
"Hepatitis C testing", 94.88, , ,"Source: Singapore HIV-AIDS Research Database 2017; Accounts for newly diagnosed patients (age 15+) at the Communicable Disease Centre and Tan Tock Seng Hospital Infectious Diseases clinic"
