Country factsheets 
TIMOR-LESTE  | 2017
HIV and AIDS Estimates
"Adults and children living with HIV", ..., ..., ...
"Adults aged 15 and over living with HIV", ..., ..., ...
"Women aged 15 and over living with HIV", ..., ..., ...
"Men aged 15 and over living with HIV", ..., ..., ...
"Children aged 0 to 14 living with HIV", ..., ..., ...
"Adult aged 15 to 49 HIV prevalence rate", ..., ..., ...
"Women aged 15 to 49 HIV prevalence rate", ..., ..., ...
"Men aged 15 to 49 HIV prevalence rate", ..., ..., ...
"HIV prevalence among young women", ..., ..., ...
"HIV prevalence among young men", ..., ..., ...
"Adults and children newly infected with HIV", ..., ..., ...
"Adults aged 15 and over newly infected with HIV", ..., ..., ...
"Women aged 15 and over newly infected with HIV", ..., ..., ...
"Men aged 15 and over newly infected with HIV", ..., ..., ...
"Children aged 0 to 14 newly infected with HIV", ..., ..., ...
"HIV incidence per 1000 population (adults 15-49)", ..., ..., ...
"HIV incidence per 1000 population (all ages)", ..., ..., ...
"Adult and child deaths due to AIDS", ..., ..., ...
"Deaths due to AIDS among adults aged 15 and over", ..., ..., ...
"Deaths due to AIDS among women aged 15 and over", ..., ..., ...
"Deaths due to AIDS among men aged 15 and over", ..., ..., ...
"Deaths due to AIDS among children aged 0 to 14", ..., ..., ...
"Orphans due to AIDS aged 0 to 17", ..., ..., ...
Epidemic transition metrics
"Incidence-to-prevalence ratio", ..., , 
"Incidence:mortality ratio", ..., , 
HIV testing and treatment cascade
"People living with HIV who know their status", ..., , 
"Percent of people living with HIV who know their status", ..., ..., ...
"People living with HIV who have suppressed viral loads", ..., , 
"Percent of people living with HIV who have suppressed viral loads", ..., , 
Antiretroviral therapy (ART)
"Coverage of adults and children receiving ART (%)", ..., ..., ...
"Adults aged 15 and over receiving ART", ..., ..., ...
"Women aged 15 and over receiving ART", ..., ..., ...
"Men aged 15 and over receiving ART", ..., ..., ...
"Children aged 0 to 14 receiving ART", ..., ..., ...
"Number of adults and children receiving ART (#)", ..., , 
"Adults aged 15 and over receiving ART", ..., , 
"Women aged 15 and over receiving ART", ..., , 
"Men aged 15 and over receiving ART", ..., , 
"Children aged 0 to 14 receiving ART", ..., , 
Elimination of mother-to-child transmission
"Coverage of pregnant women who receive ARV for PMTCT (%)", ..., ..., ...
"Pregnant women who received ARV for PMTCT (#)", ..., , 
"Pregnant women needing ARV for PMTCT (#)", ..., ..., ...
"New HIV infections averted due to PMTCT (%)", ..., ..., ...
"Number of HIV-exposed children who are uninfected", ..., ..., ...
Sex workers
"Population size estimate (#)", 1688, , ,"2014 est."
"HIV prevalence (%)", 1.5, , ,"Source: GARPR 2011"
"Condom use (%)", 36.1, , ,"Source: GARPR 2011"
Men who have sex with men
"Population size estimate (#)", 8703, , ,"2014 est."
"HIV prevalence (%)", 1.3, , ,"Source: GARPR 2011"
"Condom use (%)", 66, , ,""
People who inject drugs
"Population size estimate (#)", 53, , ,"2014 est."
Combination prevention
"Percentage of men 15-49 that are circumcised (%)", 6.4, , ,"Source: DHS 2009-10"
Young people
"Knowledge about HIV prevention among young people aged 15-24", 11.08, , ,"Source: DHS 2016"
"Knowledge about HIV prevention among young women aged 15-24", 7.7, , ,"Source: DHS 2016"
"Knowledge about HIV prevention among young men aged 15-24", 14.6, , ,"Source: DHS 2016"
