Country factsheets 
VIET NAM  | 2017
HIV and AIDS Estimates
"Adults and children living with HIV", 250 000, 220 000, 280 000
"Adults aged 15 and over living with HIV", 240 000, 220 000, 280 000
"Women aged 15 and over living with HIV", 79 000, 70 000, 90 000
"Men aged 15 and over living with HIV", 160 000, 150 000, 190 000
"Children aged 0 to 14 living with HIV", 5400, 4400, 6600
"Adult aged 15 to 49 HIV prevalence rate", 0.3, 0.3, 0.4
"Women aged 15 to 49 HIV prevalence rate", 0.2, 0.2, 0.3
"Men aged 15 to 49 HIV prevalence rate", 0.4, 0.4, 0.5
"HIV prevalence among young women", <0.1, <0.1, <0.1
"HIV prevalence among young men", <0.1, <0.1, <0.1
"Adults and children newly infected with HIV", ..., ..., ...
"Adults aged 15 and over newly infected with HIV", ..., ..., ...
"Women aged 15 and over newly infected with HIV", ..., ..., ...
"Men aged 15 and over newly infected with HIV", ..., ..., ...
"Children aged 0 to 14 newly infected with HIV", ..., ..., ...
"HIV incidence per 1000 population (adults 15-49)", ..., ..., ...
"HIV incidence per 1000 population (all ages)", ..., ..., ...
"Adult and child deaths due to AIDS", 8600, 6600, 11 000
"Deaths due to AIDS among adults aged 15 and over", 8400, 6500, 11 000
"Deaths due to AIDS among women aged 15 and over", 1900, 1300, 2500
"Deaths due to AIDS among men aged 15 and over", 6600, 5100, 8200
"Deaths due to AIDS among children aged 0 to 14", <200, <100, <500
"Orphans due to AIDS aged 0 to 17", 73 000, 57 000, 85 000
Epidemic transition metrics
"Percent change in AIDS-related deaths since 2010", , , 
"Incidence : prevalence ratio", ..., , 
"Incidence : mortality ratio", ..., , 
HIV testing and treatment cascade
"People living with HIV", 250 000, 220 000, 280 000
"People living with HIV who know their status", ..., , 
"Percent of people living with HIV who know their status", ..., ..., ...
"People living with HIV who are on ART", 120 000, , 
"Percent of people living with HIV who are on ART", 50, 44, 57
"People living with HIV who have suppressed viral loads", 110 000, , 
"Percent of people living with HIV who have suppressed viral loads", 43, 38, 49
Antiretroviral therapy (ART)
"Coverage of adults and children receiving ART (%)", 50, 44, 57
"Adults aged 15 and over receiving ART", 49, 44, 56
"Women aged 15 and over receiving ART", 52, 46, 60
"Men aged 15 and over receiving ART", 48, 42, 55
"Children aged 0 to 14 receiving ART", 88, 71, >95
"Number of adults and children receiving ART (#)", 124 765, , 
"Adults aged 15 and over receiving ART", 119 956, , 
"Women aged 15 and over receiving ART", 41 379, , 
"Men aged 15 and over receiving ART", 78 577, , 
"Children aged 0 to 14 receiving ART", 4809, , 
"Late HIV diagnosis [with the initial CD4 cell count <200 cells/ mm3] (%)", 46, , 
"Female adults (15+)", , , 
"Male adults (15+)", , , 
"Children (0-14)", , , 
"Late HIV diagnosis [with the initial CD4 cell count <350 cells/ mm3] (%)", 57, , 
"Female adults (15+)", , , 
"Male adults (15+)", , , 
"Children (0-14)", , , 
"Adults and children newly-initiating ART (#)", 15 139, , 
"Adults aged 15 and over newly-initiating ART", , , 
"Children aged 0-14 newly-initiating ART", , , 
"Women aged 15 and over newly-initiating ART", , , 
"Men aged 15 and over newly-initiating ART", , , 
Elimination of mother-to-child transmission
"Coverage of pregnant women who receive ARV for PMTCT (%)", 73, 61, 85
"Pregnant women who received ARV for PMTCT (#)", 1954, , 
"Pregnant women needing ARV for PMTCT (#)", 2700, 2300, 3200
"Early infant diagnosis (%)", 31, 26, 36
"New HIV infections averted due to PMTCT (%)", ..., ..., ...
"Number of HIV-exposed children who are uninfected", 34 000, 28 000, 42 000
Sex workers
"Population size estimate (#)", 85 600, , ,"2016 est."
"HIV prevalence (%)", 3.7, , ,"Source: Sentinel surveillance 2017"
"Knowledge of HIV status (%)", 39.6, , ,"Source: HSS+ / Survey QA/QC and sampling was different in 2017 than in previous years, therefore 2017 data should not be compared with previous years."
"Antiretroviral therapy coverage (%)", 27.6, , ,"Source: HSS+ / Survey QA/QC and sampling was different in 2017 than in previous years, therefore 2017 data should not be compared with previous years."
"Condom use (%)", 82.9, , ,"Source: HSS+ / Survey QA/QC and sampling was different in 2017 than in previous years, therefore 2017 data should not be compared with previous years."
"Coverage of HIV prevention programmes (%)", 32.8, , ,"Source: HSS+ for behaviour indicators / Survey QA/QC and sampling was different in 2017 than in previous years, therefore 2017 data should not be compared with previous years."
"Condoms distributed through prevention programmes (#)", 462, , ,"Source: UNAIDS Special Analysis and Global AIDS Monitoring, 2017"
Men who have sex with men
"Population size estimate (#)", 174 944, , ,"2017 est.; Coverage: This is estimated national data based on the results of 14 provinces"
"HIV prevalence (%)", 12.2, , ,"Source: Sentinel surveillance 2017"
"Knowledge of HIV status (%)", 65.4, , ,"Source: HSS+ / Survey QA/QC and sampling was different in 2017 than in previous years, therefore 2017 data should not be compared with previous years."
"Antiretroviral therapy coverage (%)", 17.7, , ,"Source: HSS+ / Survey QA/QC and sampling was different in 2017 than in previous years, therefore 2017 data should not be compared with previous years."
"Condom use (%)", 59.9, , ,"Source: HSS+ / Survey QA/QC and sampling was different in 2017 than in previous years, therefore 2017 data should not be compared with previous years"
"Coverage of HIV prevention programmes (%)", 28.7, , ,"Source: HSS+ for behaviour indicators, 2017"
People who inject drugs
"Population size estimate (#)", 226 900, , ,"2016 est."
"HIV prevalence (%)", 14, , ,"Source: Sentinel surveillance 2017"
"Knowledge of HIV status (%)", 61.5, , ,"Source: HSS+ / Survey QA/QC and sampling was different in 2017 than in previous years, therefore 2017 data should not be compared with previous years"
"Antiretroviral therapy coverage (%)", 53.4, , ,"Source: HSS+ / Survey QA/QC and sampling was different in 2017 than in previous years, therefore 2017 data should not be compared with previous years."
"Condom use (%)", 43.7, , ,"Source: HSS+ / Survey QA/QC and sampling was different in 2017 than in previous years, therefore 2017 data should not be compared with previous years."
"Coverage of HIV prevention programmes (%)", 18.7, , ,"Source: HSS+ / Survey QA/QC and sampling was different in 2017 than in previous years, therefore 2017 data should not be compared with previous years."
"Safe injecting practices (%)", 98, , ,"Source: HSS+ 2017"
"Needles and syringes distributed per person who injects drugs (#)", 147.8, , ,""
"Coverage of opioid substitution therapy", 22.19, , ,"Source: MMT program data 2016"
Combination prevention
"People receiving pre-exposure prophylaxis (PrEP) (#)", 808, , 
Young people
"Knowledge about HIV prevention among young people aged 15-24", 46.21, , ,"Source: 2005 DHIS"
"Knowledge about HIV prevention among young women aged 15-24", 49.3, , ,"Source: MICS 2014"
"Knowledge about HIV prevention among young men aged 15-24", 50.36, , ,"Source: 2005 DHIS"
