HIV and AIDS Estimates,HIV and AIDS Estimates,
Adults and children living with HIV,Adults and children living with HIV, 630 000
Adults and children living with HIV,Adults aged 15 and over living with HIV, 620 000
Adults and children living with HIV,Women aged 15 and over living with HIV, 220 000
Adults and children living with HIV,Men aged 15 and over living with HIV, 390 000
Adults and children living with HIV,Children aged 0 to 14 living with HIV, 14 000
Adult aged 15 to 49 HIV prevalence rate,Adult aged 15 to 49 HIV prevalence rate,0.4
Adult aged 15 to 49 HIV prevalence rate,Women aged 15 to 49 HIV prevalence rate,0.3
Adult aged 15 to 49 HIV prevalence rate,Men aged 15 to 49 HIV prevalence rate,0.5
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young women,0.2
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young men,0.3
Adults and children newly infected with HIV,Adults and children newly infected with HIV, 49 000
Adults and children newly infected with HIV,Adults aged 15 and over newly infected with HIV, 46 000
Adults and children newly infected with HIV,Women aged 15 and over newly infected with HIV, 17 000
Adults and children newly infected with HIV,Men aged 15 and over newly infected with HIV, 29 000
Adults and children newly infected with HIV,Children aged 0 to 14 newly infected with HIV,3100
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (adults 15-49),0.32
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (all ages),0.19
Adult and child deaths due to AIDS,Adult and child deaths due to AIDS, 39 000
Adult and child deaths due to AIDS,Deaths due to AIDS among adults aged 15 and over, 37 000
Adult and child deaths due to AIDS,Deaths due to AIDS among women aged 15 and over, 12 000
Adult and child deaths due to AIDS,Deaths due to AIDS among men aged 15 and over, 25 000
Adult and child deaths due to AIDS,Deaths due to AIDS among children aged 0 to 14,2200
Orphans due to AIDS aged 0 to 17,Orphans due to AIDS aged 0 to 17, 210 000
Epidemic transition metrics,Epidemic transition metrics,
Epidemic transition metrics,Percent change in new HIV infections since 2010,-19
Epidemic transition metrics,Percent change in AIDS-related deaths since 2010,69
Epidemic transition metrics,Incidence-to-prevalence ratio,0.08
Epidemic transition metrics,Incidence:mortality ratio,1.22
HIV testing and treatment cascade,HIV testing and treatment cascade,
HIV testing and treatment cascade,People living with HIV who know their status, 270 000
HIV testing and treatment cascade,Percent of people living with HIV who know their status,42
HIV testing and treatment cascade,People living with HIV who have suppressed viral loads, ...
HIV testing and treatment cascade,Percent of people living with HIV who have suppressed viral loads, ...
Antiretroviral therapy (ART),Antiretroviral therapy (ART),
Coverage of adults and children receiving ART (%),Coverage of adults and children receiving ART (%),14
Coverage of adults and children receiving ART (%),Adults aged 15 and over receiving ART,14
Coverage of adults and children receiving ART (%),Women aged 15 and over receiving ART,14
