HIV and AIDS Estimates,HIV and AIDS Estimates,
Adults and children living with HIV,Adults and children living with HIV, 12 000
Adults and children living with HIV,Adults aged 15 and over living with HIV, 11 000
Adults and children living with HIV,Women aged 15 and over living with HIV,5100
Adults and children living with HIV,Men aged 15 and over living with HIV,6100
Adults and children living with HIV,Children aged 0 to 14 living with HIV, <1000
Adult aged 15 to 49 HIV prevalence rate,Adult aged 15 to 49 HIV prevalence rate,0.3
Adult aged 15 to 49 HIV prevalence rate,Women aged 15 to 49 HIV prevalence rate,0.3
Adult aged 15 to 49 HIV prevalence rate,Men aged 15 to 49 HIV prevalence rate,0.3
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young women, <0.1
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young men, <0.1
Adults and children newly infected with HIV,Adults and children newly infected with HIV, ...
Adults and children newly infected with HIV,Adults aged 15 and over newly infected with HIV, ...
Adults and children newly infected with HIV,Women aged 15 and over newly infected with HIV, ...
Adults and children newly infected with HIV,Men aged 15 and over newly infected with HIV, ...
Adults and children newly infected with HIV,Children aged 0 to 14 newly infected with HIV, ...
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (adults 15-49), ...
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (all ages), ...
Adult and child deaths due to AIDS,Adult and child deaths due to AIDS, <500
Adult and child deaths due to AIDS,Deaths due to AIDS among adults aged 15 and over, <500
Adult and child deaths due to AIDS,Deaths due to AIDS among women aged 15 and over, <200
Adult and child deaths due to AIDS,Deaths due to AIDS among men aged 15 and over, <200
Adult and child deaths due to AIDS,Deaths due to AIDS among children aged 0 to 14, <100
Orphans due to AIDS aged 0 to 17,Orphans due to AIDS aged 0 to 17,4000
Epidemic transition metrics,Epidemic transition metrics,
Epidemic transition metrics,Percent change in AIDS-related deaths since 2010,10
Epidemic transition metrics,Incidence-to-prevalence ratio, ...
Epidemic transition metrics,Incidence:mortality ratio, ...
HIV testing and treatment cascade,HIV testing and treatment cascade,
HIV testing and treatment cascade,People living with HIV who know their status,8900
HIV testing and treatment cascade,Percent of people living with HIV who know their status,75
HIV testing and treatment cascade,People living with HIV who have suppressed viral loads,5300
HIV testing and treatment cascade,Percent of people living with HIV who have suppressed viral loads,45
Antiretroviral therapy (ART),Antiretroviral therapy (ART),
Coverage of adults and children receiving ART (%),Coverage of adults and children receiving ART (%),47
Coverage of adults and children receiving ART (%),Adults aged 15 and over receiving ART,48
Coverage of adults and children receiving ART (%),Women aged 15 and over receiving ART,50
Coverage of adults and children receiving ART (%),Men aged 15 and over receiving ART,46
Coverage of adults and children receiving ART (%),Children aged 0 to 14 receiving ART,41
Number of adults and children receiving ART (#),Number of adults and children receiving ART (#),5631
Number of adults and children receiving ART (#),Adults aged 15 and over receiving ART,5354
Number of adults and children receiving ART (#),Women aged 15 and over receiving ART,2525
Number of adults and children receiving ART (#),Men aged 15 and over receiving ART,2829
Number of adults and children receiving ART (#),Children aged 0 to 14 receiving ART,277
Adults and children newly-initiating ART (#),Adults and children newly-initiating ART (#),1181
Adults and children newly-initiating ART (#),Adults aged 15 and over newly-initiating ART,1135
Adults and children newly-initiating ART (#),Children aged 0-14 newly-initiating ART,46
Adults and children newly-initiating ART (#),Women newly-initiating ART, 
Adults and children newly-initiating ART (#),Men newly-initiating ART, 
Elimination of mother-to-child transmission,Elimination of mother-to-child transmission,
Coverage of pregnant women who receive ARV for PMTCT (%),Coverage of pregnant women who receive ARV for PMTCT (%),24
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women who received ARV for PMTCT (#),79
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women needing ARV for PMTCT (#), <500
Early infant diagnosis (%),Early infant diagnosis (%),7
New HIV infections averted due to PMTCT (%),New HIV infections averted due to PMTCT (%), ...
New HIV infections averted due to PMTCT (%),Number of HIV-exposed children who are uninfected,3500
Sex workers,Sex workers,
Sex workers,Population size estimate (#), 13 400
Sex workers,Condom use (%),91.8
Sex workers,Coverage of HIV prevention programmes (%),50.7
Sex workers,Condoms distributed through prevention programmes (#),187
Men who have sex with men,Men who have sex with men,
Men who have sex with men,Population size estimate (#), 50 000
Men who have sex with men,HIV prevalence (%),1.6
Men who have sex with men,Knowledge of HIV status (%),10.2
Men who have sex with men,Condom use (%),25.7
Men who have sex with men,Coverage of HIV prevention programmes (%),7.8
Men who have sex with men,Condoms distributed through prevention programmes (#),58
People who inject drugs,People who inject drugs,
People who inject drugs,Population size estimate (#),1600
People who inject drugs,Needles and syringes distributed per person who injects drugs (#),2.5
Stigma and discrimination,Stigma and discrimination,
Stigma and discrimination,Sex workers: Avoidance of health care because of stigma and discrimination (%),2.3
Stigma and discrimination,Men who have sex with men: Avoidance of health care because of stigma and discrimination (%),41.8
Young people,Young people,
Young people,Knowledge about HIV prevention among young people aged 15-24,25.13
Young people,Knowledge about HIV prevention among young women aged 15-24,24
Young people,Knowledge about HIV prevention among young men aged 15-24,27.6
HIV expenditure,HIV expenditure,
HIV expenditure,Total country-reported HIV expenditure (USD), 4 600 000
HIV expenditure,HIV expenditure from domestic public sources (USD), 570 000
HIV expenditure,HIV expenditure from domestic private sources (USD), 
HIV expenditure,HIV expenditure from international sources (USD), 4 100 000
