HIV and AIDS Estimates,HIV and AIDS Estimates,
Adults and children living with HIV,Adults and children living with HIV, 87 000
Adults and children living with HIV,Adults aged 15 and over living with HIV, 87 000
Adults and children living with HIV,Women aged 15 and over living with HIV, 17 000
Adults and children living with HIV,Men aged 15 and over living with HIV, 70 000
Adults and children living with HIV,Children aged 0 to 14 living with HIV, <500
Adult aged 15 to 49 HIV prevalence rate,Adult aged 15 to 49 HIV prevalence rate,0.4
Adult aged 15 to 49 HIV prevalence rate,Women aged 15 to 49 HIV prevalence rate,0.2
Adult aged 15 to 49 HIV prevalence rate,Men aged 15 to 49 HIV prevalence rate,0.7
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young women, <0.1
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young men,0.3
Adults and children newly infected with HIV,Adults and children newly infected with HIV,7800
Adults and children newly infected with HIV,Adults aged 15 and over newly infected with HIV,7800
Adults and children newly infected with HIV,Women aged 15 and over newly infected with HIV,1100
Adults and children newly infected with HIV,Men aged 15 and over newly infected with HIV,6700
Adults and children newly infected with HIV,Children aged 0 to 14 newly infected with HIV, <100
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (adults 15-49),0.43
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (all ages),0.25
Adult and child deaths due to AIDS,Adult and child deaths due to AIDS,4400
Adult and child deaths due to AIDS,Deaths due to AIDS among adults aged 15 and over,4400
Adult and child deaths due to AIDS,Deaths due to AIDS among women aged 15 and over, <1000
Adult and child deaths due to AIDS,Deaths due to AIDS among men aged 15 and over,3600
Adult and child deaths due to AIDS,Deaths due to AIDS among children aged 0 to 14, <100
Orphans due to AIDS aged 0 to 17,Orphans due to AIDS aged 0 to 17, 45 000
Epidemic transition metrics,Epidemic transition metrics,
Epidemic transition metrics,Percent change in new HIV infections since 2010,9
Epidemic transition metrics,Percent change in AIDS-related deaths since 2010,-18
Epidemic transition metrics,Incidence-to-prevalence ratio,0.09
Epidemic transition metrics,Incidence:mortality ratio,1.68
HIV testing and treatment cascade,HIV testing and treatment cascade,
HIV testing and treatment cascade,People living with HIV who know their status, 72 000
HIV testing and treatment cascade,Percent of people living with HIV who know their status,83
HIV testing and treatment cascade,People living with HIV who have suppressed viral loads, 37 000
HIV testing and treatment cascade,Percent of people living with HIV who have suppressed viral loads,42
Antiretroviral therapy (ART),Antiretroviral therapy (ART),
Coverage of adults and children receiving ART (%),Coverage of adults and children receiving ART (%),45
Coverage of adults and children receiving ART (%),Adults aged 15 and over receiving ART,45
Coverage of adults and children receiving ART (%),Women aged 15 and over receiving ART,60
Coverage of adults and children receiving ART (%),Men aged 15 and over receiving ART,41
Coverage of adults and children receiving ART (%),Children aged 0 to 14 receiving ART,95
Number of adults and children receiving ART (#),Number of adults and children receiving ART (#), 39 018
