HIV and AIDS Estimates,HIV and AIDS Estimates,
Adults and children living with HIV,Adults and children living with HIV, 220 000
Adults and children living with HIV,Adults aged 15 and over living with HIV, 220 000
Adults and children living with HIV,Women aged 15 and over living with HIV, 79 000
Adults and children living with HIV,Men aged 15 and over living with HIV, 140 000
Adults and children living with HIV,Children aged 0 to 14 living with HIV,8400
Adult aged 15 to 49 HIV prevalence rate,Adult aged 15 to 49 HIV prevalence rate,0.7
Adult aged 15 to 49 HIV prevalence rate,Women aged 15 to 49 HIV prevalence rate,0.5
Adult aged 15 to 49 HIV prevalence rate,Men aged 15 to 49 HIV prevalence rate,0.9
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young women,0.3
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young men,0.4
Adults and children newly infected with HIV,Adults and children newly infected with HIV, 11 000
Adults and children newly infected with HIV,Adults aged 15 and over newly infected with HIV, 10 000
Adults and children newly infected with HIV,Women aged 15 and over newly infected with HIV,3000
Adults and children newly infected with HIV,Men aged 15 and over newly infected with HIV,7100
Adults and children newly infected with HIV,Children aged 0 to 14 newly infected with HIV, <1000
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (adults 15-49),0.36
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (all ages),0.21
Adult and child deaths due to AIDS,Adult and child deaths due to AIDS,6700
Adult and child deaths due to AIDS,Deaths due to AIDS among adults aged 15 and over,6500
Adult and child deaths due to AIDS,Deaths due to AIDS among women aged 15 and over,1400
Adult and child deaths due to AIDS,Deaths due to AIDS among men aged 15 and over,5100
Adult and child deaths due to AIDS,Deaths due to AIDS among children aged 0 to 14, <500
Orphans due to AIDS aged 0 to 17,Orphans due to AIDS aged 0 to 17, 98 000
Epidemic transition metrics,Epidemic transition metrics,
Epidemic transition metrics,Percent change in new HIV infections since 2010,-29
Epidemic transition metrics,Percent change in AIDS-related deaths since 2010,-49
Epidemic transition metrics,Incidence-to-prevalence ratio,0.05
Epidemic transition metrics,Incidence:mortality ratio,1.48
HIV testing and treatment cascade,HIV testing and treatment cascade,
HIV testing and treatment cascade,People living with HIV who know their status, ...
HIV testing and treatment cascade,Percent of people living with HIV who know their status, ...
HIV testing and treatment cascade,People living with HIV who have suppressed viral loads, ...
HIV testing and treatment cascade,Percent of people living with HIV who have suppressed viral loads, ...
Antiretroviral therapy (ART),Antiretroviral therapy (ART),
Coverage of adults and children receiving ART (%),Coverage of adults and children receiving ART (%),66
Coverage of adults and children receiving ART (%),Adults aged 15 and over receiving ART,65
Coverage of adults and children receiving ART (%),Women aged 15 and over receiving ART,80
Coverage of adults and children receiving ART (%),Men aged 15 and over receiving ART,56
Coverage of adults and children receiving ART (%),Children aged 0 to 14 receiving ART,91
Number of adults and children receiving ART (#),Number of adults and children receiving ART (#), 146 826
Number of adults and children receiving ART (#),Adults aged 15 and over receiving ART, 139 157
Number of adults and children receiving ART (#),Women aged 15 and over receiving ART, 62 633
Number of adults and children receiving ART (#),Men aged 15 and over receiving ART, 76 524
Number of adults and children receiving ART (#),Children aged 0 to 14 receiving ART,7669
Adults and children newly-initiating ART (#),Adults and children newly-initiating ART (#), 28 881
Adults and children newly-initiating ART (#),Adults aged 15 and over newly-initiating ART, 27 752
Adults and children newly-initiating ART (#),Children aged 0-14 newly-initiating ART,1129
Adults and children newly-initiating ART (#),Women newly-initiating ART, 
Adults and children newly-initiating ART (#),Men newly-initiating ART, 
Adults and children known to be on ART 12 months after starting (%),Adults and children known to be on ART 12 months after starting (%),84
Adults and children known to be on ART 12 months after starting (%),Adults known to be on ART 12 months after starting, >95
Adults and children known to be on ART 12 months after starting (%),Children known to be on ART 12 months after starting,91
Elimination of mother-to-child transmission,Elimination of mother-to-child transmission,
Coverage of pregnant women who receive ARV for PMTCT (%),Coverage of pregnant women who receive ARV for PMTCT (%),78
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women who received ARV for PMTCT (#),4383
