HIV and AIDS Estimates,HIV and AIDS Estimates,
Adults and children living with HIV,Adults and children living with HIV, 68 000
Adults and children living with HIV,Adults aged 15 and over living with HIV, 68 000
Adults and children living with HIV,Women aged 15 and over living with HIV,6200
Adults and children living with HIV,Men aged 15 and over living with HIV, 61 000
Adults and children living with HIV,Children aged 0 to 14 living with HIV, <1000
Adult aged 15 to 49 HIV prevalence rate,Adult aged 15 to 49 HIV prevalence rate,0.1
Adult aged 15 to 49 HIV prevalence rate,Women aged 15 to 49 HIV prevalence rate, <0.1
Adult aged 15 to 49 HIV prevalence rate,Men aged 15 to 49 HIV prevalence rate,0.2
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young women, <0.1
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young men,0.3
Adults and children newly infected with HIV,Adults and children newly infected with HIV, 12 000
Adults and children newly infected with HIV,Adults aged 15 and over newly infected with HIV, 12 000
Adults and children newly infected with HIV,Women aged 15 and over newly infected with HIV, <1000
Adults and children newly infected with HIV,Men aged 15 and over newly infected with HIV, 11 000
Adults and children newly infected with HIV,Children aged 0 to 14 newly infected with HIV, <200
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (adults 15-49),0.2
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (all ages),0.12
Adult and child deaths due to AIDS,Adult and child deaths due to AIDS, <1000
Adult and child deaths due to AIDS,Deaths due to AIDS among adults aged 15 and over, <1000
Adult and child deaths due to AIDS,Deaths due to AIDS among women aged 15 and over, <200
Adult and child deaths due to AIDS,Deaths due to AIDS among men aged 15 and over, <1000
Adult and child deaths due to AIDS,Deaths due to AIDS among children aged 0 to 14, <100
Orphans due to AIDS aged 0 to 17,Orphans due to AIDS aged 0 to 17,2400
Epidemic transition metrics,Epidemic transition metrics,
Epidemic transition metrics,Percent change in new HIV infections since 2010,174
Epidemic transition metrics,Percent change in AIDS-related deaths since 2010,299
Epidemic transition metrics,Incidence-to-prevalence ratio,0.18
Epidemic transition metrics,Incidence:mortality ratio,13.64
HIV testing and treatment cascade,HIV testing and treatment cascade,
HIV testing and treatment cascade,People living with HIV who know their status, 48 000
HIV testing and treatment cascade,Percent of people living with HIV who know their status,71
