HIV and AIDS Estimates,HIV and AIDS Estimates,
Adults and children living with HIV,Adults and children living with HIV,7600
Adults and children living with HIV,Adults aged 15 and over living with HIV,7600
Adults and children living with HIV,Women aged 15 and over living with HIV, <1000
Adults and children living with HIV,Men aged 15 and over living with HIV,6900
Adults and children living with HIV,Children aged 0 to 14 living with HIV, ...
Adult aged 15 to 49 HIV prevalence rate,Adult aged 15 to 49 HIV prevalence rate,0.2
Adult aged 15 to 49 HIV prevalence rate,Women aged 15 to 49 HIV prevalence rate, <0.1
Adult aged 15 to 49 HIV prevalence rate,Men aged 15 to 49 HIV prevalence rate,0.4
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young women, <0.1
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young men, <0.1
Adults and children newly infected with HIV,Adults and children newly infected with HIV, <500
Adults and children newly infected with HIV,Adults aged 15 and over newly infected with HIV, <500
Adults and children newly infected with HIV,Women aged 15 and over newly infected with HIV, <100
Adults and children newly infected with HIV,Men aged 15 and over newly infected with HIV, <500
Adults and children newly infected with HIV,Children aged 0 to 14 newly infected with HIV, ...
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (adults 15-49),0.13
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (all ages),0.08
Adult and child deaths due to AIDS,Adult and child deaths due to AIDS, <100
Adult and child deaths due to AIDS,Deaths due to AIDS among adults aged 15 and over, <100
Adult and child deaths due to AIDS,Deaths due to AIDS among women aged 15 and over, <100
Adult and child deaths due to AIDS,Deaths due to AIDS among men aged 15 and over, <100
Adult and child deaths due to AIDS,Deaths due to AIDS among children aged 0 to 14, ...
Orphans due to AIDS aged 0 to 17,Orphans due to AIDS aged 0 to 17, ...
Epidemic transition metrics,Epidemic transition metrics,
Epidemic transition metrics,Percent change in new HIV infections since 2010,-24
Epidemic transition metrics,Percent change in AIDS-related deaths since 2010,-44
Epidemic transition metrics,Incidence-to-prevalence ratio,0.04
Epidemic transition metrics,Incidence:mortality ratio,3.1
HIV testing and treatment cascade,HIV testing and treatment cascade,
HIV testing and treatment cascade,People living with HIV who know their status,6900
HIV testing and treatment cascade,Percent of people living with HIV who know their status,91
HIV testing and treatment cascade,People living with HIV who have suppressed viral loads,5500
HIV testing and treatment cascade,Percent of people living with HIV who have suppressed viral loads,72
Antiretroviral therapy (ART),Antiretroviral therapy (ART),
Coverage of adults and children receiving ART (%),Coverage of adults and children receiving ART (%),77
Coverage of adults and children receiving ART (%),Adults aged 15 and over receiving ART,77
Coverage of adults and children receiving ART (%),Women aged 15 and over receiving ART,77
Coverage of adults and children receiving ART (%),Men aged 15 and over receiving ART,77
Coverage of adults and children receiving ART (%),Children aged 0 to 14 receiving ART, ...
Number of adults and children receiving ART (#),Number of adults and children receiving ART (#),5878
Number of adults and children receiving ART (#),Adults aged 15 and over receiving ART,5869
Number of adults and children receiving ART (#),Women aged 15 and over receiving ART,575
Number of adults and children receiving ART (#),Men aged 15 and over receiving ART,5294
Number of adults and children receiving ART (#),Children aged 0 to 14 receiving ART,9
Adults and children known to be on ART 12 months after starting (%),Adults and children known to be on ART 12 months after starting (%), >95
Adults and children known to be on ART 12 months after starting (%),Adults known to be on ART 12 months after starting, >95
Adults and children known to be on ART 12 months after starting (%),Children known to be on ART 12 months after starting, 
Elimination of mother-to-child transmission,Elimination of mother-to-child transmission,
Coverage of pregnant women who receive ARV for PMTCT (%),Coverage of pregnant women who receive ARV for PMTCT (%), ...
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women who received ARV for PMTCT (#), ...
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women needing ARV for PMTCT (#), ...
New HIV infections averted due to PMTCT (%),New HIV infections averted due to PMTCT (%), ...
New HIV infections averted due to PMTCT (%),Number of HIV-exposed children who are uninfected, ...
Sex workers,Sex workers,
Sex workers,HIV prevalence (%), 
Sex workers,Condom use (%),98.8
Sex workers,Active syphilis (%), 
Men who have sex with men,Men who have sex with men,
Men who have sex with men,HIV prevalence (%),11
Men who have sex with men,Antiretroviral therapy coverage (%),99.2
Men who have sex with men,Condom use (%),57.8
Men who have sex with men,Active syphilis (%),12.4
People who inject drugs,People who inject drugs,
People who inject drugs,HIV prevalence (%),0.5
Prisoners,Prisoners,
Prisoners,Population size estimate (#), 10 363
Prisoners,HIV prevalence (%),1.1
Prisoners,Antiretroviral therapy coverage (%),100
Transgender people,Transgender people,
Transgender people,Antiretroviral therapy coverage (%),100
Combination prevention,Combination prevention,
Combination prevention,People receiving pre-exposure prophylaxis (PrEP) (#),24
HIV expenditure,HIV expenditure,
HIV expenditure,Total country-reported HIV expenditure (USD), 52 100 000
HIV expenditure,HIV expenditure from domestic public sources (USD), 52 100 000
HIV expenditure,HIV expenditure from domestic private sources (USD), 
HIV expenditure,HIV expenditure from international sources (USD), 
Hepatitis and HIV,Hepatitis and HIV,
Hepatitis and HIV,Hepatitis B testing,91.34
Hepatitis and HIV,Proportion of people coinfected with HIV and HBV receiving combined treatment,99.39
Hepatitis and HIV,Hepatitis C testing,94.88
