HIV and AIDS Estimates,HIV and AIDS Estimates,
Adults and children living with HIV,Adults and children living with HIV, 440 000
Adults and children living with HIV,Adults aged 15 and over living with HIV, 440 000
Adults and children living with HIV,Women aged 15 and over living with HIV, 190 000
Adults and children living with HIV,Men aged 15 and over living with HIV, 240 000
Adults and children living with HIV,Children aged 0 to 14 living with HIV,3400
Adult aged 15 to 49 HIV prevalence rate,Adult aged 15 to 49 HIV prevalence rate,1.1
Adult aged 15 to 49 HIV prevalence rate,Women aged 15 to 49 HIV prevalence rate,1
Adult aged 15 to 49 HIV prevalence rate,Men aged 15 to 49 HIV prevalence rate,1.2
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young women,0.2
Adult aged 15 to 49 HIV prevalence rate,HIV prevalence among young men,0.3
Adults and children newly infected with HIV,Adults and children newly infected with HIV, ...
Adults and children newly infected with HIV,Adults aged 15 and over newly infected with HIV, ...
Adults and children newly infected with HIV,Women aged 15 and over newly infected with HIV, ...
Adults and children newly infected with HIV,Men aged 15 and over newly infected with HIV, ...
Adults and children newly infected with HIV,Children aged 0 to 14 newly infected with HIV, ...
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (adults 15-49), ...
HIV incidence per 1000 population (adults 15-49),HIV incidence per 1000 population (all ages), ...
Adult and child deaths due to AIDS,Adult and child deaths due to AIDS, 15 000
Adult and child deaths due to AIDS,Deaths due to AIDS among adults aged 15 and over, 15 000
Adult and child deaths due to AIDS,Deaths due to AIDS among women aged 15 and over,5500
Adult and child deaths due to AIDS,Deaths due to AIDS among men aged 15 and over,9100
Adult and child deaths due to AIDS,Deaths due to AIDS among children aged 0 to 14, <100
Orphans due to AIDS aged 0 to 17,Orphans due to AIDS aged 0 to 17, 150 000
Epidemic transition metrics,Epidemic transition metrics,
Epidemic transition metrics,Percent change in AIDS-related deaths since 2010,-39
Epidemic transition metrics,Incidence-to-prevalence ratio, ...
Epidemic transition metrics,Incidence:mortality ratio, ...
HIV testing and treatment cascade,HIV testing and treatment cascade,
HIV testing and treatment cascade,People living with HIV who know their status, 430 000
HIV testing and treatment cascade,Percent of people living with HIV who know their status, >95
HIV testing and treatment cascade,People living with HIV who have suppressed viral loads, 270 000
HIV testing and treatment cascade,Percent of people living with HIV who have suppressed viral loads,62
Antiretroviral therapy (ART),Antiretroviral therapy (ART),
Coverage of adults and children receiving ART (%),Coverage of adults and children receiving ART (%),72
Coverage of adults and children receiving ART (%),Adults aged 15 and over receiving ART,72
Coverage of adults and children receiving ART (%),Women aged 15 and over receiving ART,75
Coverage of adults and children receiving ART (%),Men aged 15 and over receiving ART,70
Coverage of adults and children receiving ART (%),Children aged 0 to 14 receiving ART,84
Number of adults and children receiving ART (#),Number of adults and children receiving ART (#), 316 629
Number of adults and children receiving ART (#),Adults aged 15 and over receiving ART, 313 770
Number of adults and children receiving ART (#),Women aged 15 and over receiving ART, 145 173
Number of adults and children receiving ART (#),Men aged 15 and over receiving ART, 168 597
Number of adults and children receiving ART (#),Children aged 0 to 14 receiving ART,2859
Adults and children newly-initiating ART (#),Adults and children newly-initiating ART (#), 26 578
Adults and children newly-initiating ART (#),Adults aged 15 and over newly-initiating ART, 26 306
Adults and children newly-initiating ART (#),Children aged 0-14 newly-initiating ART,272
Adults and children newly-initiating ART (#),Women newly-initiating ART, 
Adults and children newly-initiating ART (#),Men newly-initiating ART, 
Elimination of mother-to-child transmission,Elimination of mother-to-child transmission,
Coverage of pregnant women who receive ARV for PMTCT (%),Coverage of pregnant women who receive ARV for PMTCT (%), >95
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women who received ARV for PMTCT (#),3906
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women needing ARV for PMTCT (#),4000
Early infant diagnosis (%),Early infant diagnosis (%),94
New HIV infections averted due to PMTCT (%),New HIV infections averted due to PMTCT (%), ...
New HIV infections averted due to PMTCT (%),Number of HIV-exposed children who are uninfected, 94 000
Sex workers,Sex workers,
Sex workers,Population size estimate (#), 144 000
Sex workers,HIV prevalence (%),1
Sex workers,Knowledge of HIV status (%),58.3
Sex workers,Condom use (%),80.8
Sex workers,Condoms distributed through prevention programmes (#),54
Men who have sex with men,Men who have sex with men,
Men who have sex with men,Population size estimate (#), 590 700
Men who have sex with men,HIV prevalence (%),9.15
Men who have sex with men,Condom use (%),82.1
People who inject drugs,People who inject drugs,
People who inject drugs,Population size estimate (#), 42 000
People who inject drugs,HIV prevalence (%),19.02
People who inject drugs,Condom use (%),47.2
People who inject drugs,Safe injecting practices (%),84.88
People who inject drugs,Needles and syringes distributed per person who injects drugs (#),12.794
People who inject drugs,Coverage of opioid substitution therapy,4.1
Prisoners,Prisoners,
Prisoners,Population size estimate (#), 311 587
Prisoners,HIV prevention programmes in prisons: condoms distributed (#), 71 333
Prisoners,HIV prevention programmes in prisons: prisoners receiving opioid substitution therapy (#),39
Prisoners,Prevalence of TB infection among prisoners (%),0.98
Prisoners,Prevalence of hepatitis C infection among prisoners (%),5.22
Transgender people,Transgender people,
Transgender people,Population size estimate (#), 62 800
Transgender people,Knowledge of HIV status (%),72.3
Combination prevention,Combination prevention,
Combination prevention,People receiving pre-exposure prophylaxis (PrEP) (#),1865
Combination prevention,Condom use at last high-risk sex among adults aged 15 to 49 (%),75.7
Combination prevention,- Condom use at last high-risk sex among women aged 15 to 49 (%),76.8
Combination prevention,- Condom use at last high-risk sex among men aged 15 to 49 (%),75
Stigma and discrimination,Stigma and discrimination,
Stigma and discrimination,Percentage of adults (15-49) who responded No to the question: Would you buy fresh vegetables from a shopkeeper or vendor if you knew that this person had HIV?,23.2
Stigma and discrimination,Percentage of adults (15-49) who responded No to the question: Do you think that children living with HIV should be able to attend school with children who are HIV negative?,7.8
Stigma and discrimination,Percentage of adults (15-49) who responded No to both questions,26.1
Stigma and discrimination,Sex workers: Avoidance of health care because of stigma and discrimination (%),10.51
