Country,Population,Christian,Christian,Islam,Islam,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
,,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Brunei,400000.00,37600.00,9.40,300400.00,75.10,1600.00,0.40,1200.00,0.30,34400.00,8.60,24800.00,6.20,400.00,0.10,0.00,0.00
Cambodia,14140000.00,56560.00,0.40,282800.00,2.00,28280.00,0.20,0.00,0.00,13701660.00,96.90,84840.00,0.60,0.00,0.00,0.00,0.00
Indonesia,239870000.00,23747130.00,9.90,209166640.00,87.20,240000.00,0.10,4077790.00,1.70,1679090.00,0.70,719610.00,0.30,239870.00,0.10,0.00,0.00
Laos,6200000.00,93000.00,1.50,0.00,0.00,55800.00,0.90,0.00,0.00,4092000.00,66.00,1903400.00,30.70,43400.00,0.70,0.00,0.00
Malaysia,28400000.00,2669600.00,9.40,18090800.00,63.70,198800.00,0.70,1704000.00,6.00,5026800.00,17.70,653200.00,2.30,56800.00,0.20,0.00,0.00
Myanmar,47960000.00,3740880.00,7.80,1918400.00,4.00,239800.00,0.50,815320.00,1.70,38415960.00,80.10,2781680.00,5.80,95920.00,0.20,0.00,0.00
Philippines,105000000.00,89000000.00,85.00,5127000.00,5.50,7350000.00,7.00,10000.00,0.00,1758000.00,1.50,1398900.00,1.50,93260.00,0.10,28473.00,0.03
Singapore,5090000.00,926380.00,18.20,727870.00,14.30,834760.00,16.40,264680.00,5.20,1725510.00,33.90,117070.00,2.30,493730.00,9.70,0.00,0.00
Thailand,69120000.00,622080.00,0.90,3801600.00,5.50,207360.00,0.30,69120.00,0.10,64419840.00,93.20,60000.00,0.09,0.00,0.00,0.00,0.00
Timor-Leste,1120000.00,1115520.00,99.60,1120.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,1120.00,0.10,0.00,0.00,0.00,0.00
Vietnam,94700000.00,7765400.00,8.20,175700.00,0.20,28031200.00,29.60,151200.00,0.16,15530800.00,16.40,42899100.00,45.30,351400.00,0.40,0.00,0.00
,,,,,,,,,,,,,,,,,
